TimeStamp, BettingHouse,League_Tournament, EventID, EventName, EventScore, EventTime, EventPeriod, OddsLocal, OddsDraw, OddsVisitor
Sat Oct 09 17:21:32 -0500 2021,WPlay,Américas - Brasil - Serie A,250759052,Atletico PR - Bahia BA,0-0,20:31,1ª Mitad,1.90,3.10,4.50
Sat Oct 09 17:21:32 -0500 2021,WPlay,Américas - Chile - Primera División,250220655,Antofagasta - Melipilla,0-0,58:36,Segunda Mitad,2.55,2.10,4.50
Sat Oct 09 17:21:32 -0500 2021,WPlay,Fútbol Mujeres - Mexico - Liga MX Femenil,250541801,Toluca (W) - Santos Laguna (W),1-0,62:43,Segunda Mitad,1.48,3.35,8.50
Sat Oct 09 17:21:32 -0500 2021,WPlay,Américas - Brasil - Serie B,251907233,EC Vitória - Confianca SE,0-1,19:39,1ª Mitad,3.95,3.10,2.00
Sat Oct 09 17:21:32 -0500 2021,WPlay,Américas - EE.UU - MLS,249590590,New York Red Bulls - Inter Miami CF,0-0,12:22,1ª Mitad,1.444,4.00,8.00
Sat Oct 09 17:21:32 -0500 2021,WPlay,Américas - Uruguay - Primera División,252626204,Montevideo Wanderers - Torque,0-1,74:59,Segunda Mitad,23.00,4.333,1.222
Sat Oct 09 17:21:32 -0500 2021,WPlay,Américas - Venezuela - Primera División,251757086,Carabobo FC - Yaracuyanos FC,0-0,2:52,1ª Mitad,2.35,3.00,2.95
Sat Oct 09 17:21:32 -0500 2021,WPlay,Américas - Brasil - Serie C,253234909,Novorizontino SP - Ypiranga RS,0-0,19:37,1ª Mitad,2.25,2.65,3.65
Sat Oct 09 17:21:32 -0500 2021,WPlay,Américas - Brazil - Serie D,252821121,America RN - Campinense PB,0-0,87:26,Segunda Mitad,7.50,1.142,9.00
Sat Oct 09 17:21:32 -0500 2021,WPlay,Américas - Chile - Primera B,253007796,CD Arturo Fernandez Vial - CSD Rangers,1-2,57:22,Segunda Mitad,5.50,2.90,1.727
Sat Oct 09 17:21:32 -0500 2021,WPlay,Américas - Colombia - Liga Antioqueña de Fútbol,253936604,Rionegros Aguilas(R) - La Chalaca,3-1,52:23,Segunda Mitad,5.50,2.90,1.727
Sat Oct 09 17:21:32 -0500 2021,WPlay,Américas - El Salvador - Primera Division,252777395,Municipal Limeno - Once Deportivo,0-0,62:37,Segunda Mitad,2.40,1.95,6.00
Sat Oct 09 17:21:32 -0500 2021,WPlay,Américas - El Salvador - Primera Division,252777368,CD Platense Zacatecoluca - Luis Ángel Firpo,1-0,45:00,1ª Mitad,1.40,3.60,9.00
Sat Oct 09 17:21:32 -0500 2021,WPlay,Américas - Guatemala - Liga Nacional,252357357,Csd Municipal - FC Santa Lucia Cotzumalguapa,0-1,54:40,Segunda Mitad,8.50,3.45,1.444
Sat Oct 09 17:21:32 -0500 2021,WPlay,Américas - Honduras - Liga Nacional,253552535,CD Marathon - Honduras Progreso,1-0,56:34,Segunda Mitad,1.10,5.75,29.00
Sat Oct 09 17:21:32 -0500 2021,WPlay,Américas - Panama - Liga Panamena,251563544,Sporting San Miguelito - San Francisco FC,1-1,61:58,Segunda Mitad,3.65,1.85,3.65
